"Text","Is Delay"
"brick footing located excavating stormwater west kuwumi","0"
"as1554","0"
"internal brick wall discovered whilst demolishing platform 1 newcastle train station","1"
"1100am robson excavating trench worth pl","0"
"geo fabric placement abutment","0"
"excavation 22t excavator required due unknown oversized footing present requiring removal order excavate subsoils near future","0"
"gassy odour noticed","1"
"stormwater line 5 50 unsuitable material encountered foundation","0"
"pda testing process","0"
"taswater leak new pipeline","1"
"entrance project temporary discussion no right hand turns across dual lanes drive road turnaround junction","0"
"conduit installed depth shallow drainage eastern kerb ncc deemed conduit noncompliant","0"
"stuart conducted drive traffic management morning check still implemented","0"
"possession site still not granted","0"
"14 5 removal road clearance given additional 15t excavator used remove road","0"
"3rd yard commence tuesday","0"
"s6 subgrade replacement","0"
"estimated quantity 200250l c","0"
"possession site","0"
"showers early overcast windy","1"
"5 panels formed ready pour 19 10 18","0"
"continued working access track around borrow pit","0"
"trial tieback panel r435 precast yard","0"
"s2 embankment foundation","0"
"mark went way stopped water cart come see raise","0"
"whilst mechanically excavating came across abandoned hv cables known identified dss drawings","0"
"28 05 18 excavate trench west argyle substation expose potential services within area removed","0"
"remove replace previously placed subgrade treatment due failure","1"
"good traffic management installed illawarra road","0"
"tree root obstacle","1"
"ifc drawing needed work programming continue","1"
"andrew asked question following load restraint training whether cartage contractors complying 3 axle truck 3 axle dogs complying nhv load requirement 42","0"
"ifc drawings","0"
"29km journey driver passed package near yarralla wheat rd west dalby cleared 100km speed sign returning traffic normal posted speed limit","0"
"drying cbr 10 instructed","0"
"construction access roads geotechnical investigation works commence monday weather permitting","0"
"18 additional sandstone blocks uncovered either side wolfe st","1"
"s2 embankment foundation","0"
"coppice logs appeared installed construction adjacent building act retaining wall former rail corridor enable underground carpark constructed","0"
"261 dennis f","0"
"green slot distance road alignment","0"
"removal redundant service","1"
"base station works","0"
"proof rolling bridge foundations","0"
"priority continue access roads s3 s4","0"
"mcd0 density testing","0"
"stripping","0"
"pipe uncovered","1"
"project site taking shape preparation contract works","0"
"excavation works exposure replacement darby st","0"
"70km activated working day","0"
"site establishment compound buildings","0"
"culvert checked excavation director franz","0"
"design required abutment cage beam production","0"
"clevis burnt welder","0"
"continue sub grade backfill abut b 60 start shift","0"
"scouring batters","0"
"subgrade replacement backfill","0"
"set long term signage","0"
"flagged area around heritage building","0"
"unknown second stormwater encountered","1"
"preparation blasting mc00 cut","0"
"hst onsite remove trees powerlines new site compound access","0"
"wheels removed unit deliberately 2 weeks ago","0"
"unknown potential power st cable found excavating tcs crossing west newcomen st","1"
"blast guard implementation management excellent ensuring no team member thoroughfare danger","0"
"bbq mark grand opening compound completed around 3 weeks recognise teams efforts focus compliance safety culture","0"
"362 borrow pit haul road","0"
"finished piling abutment b s4 6 piles driven","0"
"part uon investigation works uon requested walk raps laydown area ew007 contractor","0"
"blast guard process debriefing prior borrow pit blast 3 project blast 6","0"
"borrow pit haul roads","0"
"uncovered electrical cable","1"
"excavation western side mc 01 andys road house","0"
"suggestion involved self manufacturing flags lvs","0"
"bore hole locations ready monday","0"
"no work due downpour","1"
"clean drizzle","1"
"meeting major stakeholders hugh charles mackinnon discuss property access protocols ensuring safe entry compliance project cmp maintained","0"
"windy scattered clouds cold","1"
"troy gleeson achieved result 2no","0"
"excavating ausgrid route stabling yard","0"
"illawarra road overhead power line removal relocation underground likely completed late november early december need review options allow structure 3 continue without delays","1"
"dolerite encountered 10","0"
"material removed beyond design level drainage blanket installed","0"
"blast management plan review jm","0"
"additional pipes running pacific park attempted broken excavator","0"
"hwc repair team arrived 415pm proceeded temporary repairs not materials perform permanent repairs","0"
"point mc driver ip 2 observed white kia suv ip 1 crossing centre line veering lane","0"
"end result better safety usability","0"
"362 borrow pit access road","0"
"fine sunny day","0"
"something found","1"
"notification carries standard 5 day period means exclusion zone need remain place week","0"
"cut piles prep ready splicing extensions","0"
"office access nearing completion s5 s6","0"
"overnight morning showers","0"
"18 8t excavator supervised downer dla drumderg demolition license 2hrs remove tanks ground","0"
"commencing w 160 trench excavation removal redundant services event 174 deeper excavation found unsuitable foundation","1"
"excavation works scott st","0"
"s4 footing excavation backfill","0"
"hired plant done","0"
"345 meeting 30 8 18","0"
"pipe full tree roots cracks along length","0"
"geotechnical investigation works","0"
"jemena emergency called immediately","1"
"micheal determined consequential severity many items underrated project risk register","0"
"sray seal 10mm","0"
"s6 nth abutment subgrade proof roll passed inspection","0"
"heritage","1"
"1 tas watermain leak found good progress completion moving offsite us","0"
"no compliance condition 176","0"
"excavation removal works wednesday 7th asbestos waste identified within backfill material","1"
"plant new project office location","0"
"drilling outside rail exclusion zone","0"
"cutov work","1"
"asbestos removal taking place s3 9 10 18","0"
"potential access","0"
"hunter water inspected pipe thursday 03 05 2018","0"
"dust causing hazards work site crossing illawarra road","1"
"it�s not marked service drawings","0"
"good weather today fine sunny light breeze","0"
"loading topsoils mc00 s2 s3 stockpiled mcd0 mcc0","0"
"16 05 18 3hrs 20t rock hammer","0"
"bus action surplus trucks utes hired","0"
"small setback s7 due flooding","1"
"site safety environmental weekly inspections","0"
"scheduled mtg panel supply contractor","0"
"need submit sediment control basin design methodology dsg","0"
"whilst excavating ch10980 northern kerb robson pulled concrete encasing telstra 1 x p100 road crossing","0"
"mark excavation limits s3","0"
"works ceased due wet weather across site packages","1"
"welding extension col p414","0"
"sequence works 20t excavating hole uncovered sandstone blocks heritage consultant excavation director start investigations manhole chamber required moved due shoring box required installed clashing blocks recording heritage consultant survey block cover placed blocks keep place","1"
"notified zc nm mw dw regarding checking truck tyres prior leaving gate rock road","0"
"stripping crew borrow","0"
"discussed works key stakeholder hugh mackinnon","0"
"issue program critical ifc drawings","0"
"345 meeting 11 10 18","0"
"cables seem tact nbnco perform investigations","0"
"running east west found unsuitable condition","0"
"see daily diary","0"
"s6 rail corridor 5m exclusion zone delineation","0"
"felling trees new project entrance correct ppe used traffic obeying traffic signage speed limits place","0"
"issue terms subcontract agreement frog culvert crowns managed ian ramsden","1"
"site office power commenced ready","0"
"continue access roads","0"
"windy","1"
"asphalt delivery trucks spilled road intersection hunter auckland streets","1"
"new crew onsite inducted swms safely preformed task","0"
"safety standards competencies werent site expectations","0"
"pursuant medical certificate ip not perform lifting right arm times injury healed","0"
"pipe minorly damaged slow leakage gas occuring","1"
"blast managed best practice well done involved","0"
"unknown water main found stewart ave hunter st core projects corner","1"
"no work rainfall","1"
"stop rainfall","1"
"bh13 terminates gl33","0"
"rfi submitted pba confirm capping stones replaced precast concrete lid","0"
"service location live water main 115m deep","0"
"long term traffic signage installed ready drop 70km along illawarra rd morning","0"
"no work gale","1"
"168 s3 access roads","0"
"volume concentration per","0"
"300 mm pipe 123 scott st","0"
"x3 s3","0"
"road frost warning ground level northnorthwest monday morning take care roads","0"
"gas service damaged","1"
"3mm set","0"
"elliot thomas","0"
"site office","0"
"arrival second drill rig borrow pit","0"
"16 05 18 ndd truck 4hrs expose roots arborists 8hrs spent removal 17 05 18 ndd truck 10hrs expose roots arborists 10hrs spent removal 18 05 18 ndd truck 4hrs expose roots arborists 5","0"
"pot holing services gibson property","0"
"power s3 discussed commercial risk activate tn relocation prior dsg var approval","0"
"wall tie back sample","0"
"briefing new starter s5 s6 work managed","0"
"s3 access roads","0"
"location container carpark","0"
"communicated expectations type filling stornoway request production plan attachments","0"
"retrieving truck dog","0"
"loading topsoil mcd0 stockpiling","0"
"fob2 construction completed office set commenced","0"
"requested approval dsg leave illawarra road speed restrictions place hours","0"
"excavation works csr tp hv hunter street argyle street number unidentified finds uncovered","1"
"sm kerb install slow progress","0"
"dead limb hanging near new site office access road","0"
"see daily diary","0"
"delays relocating telstra fibre optic still preventing subgrade replacement panel footing install panel install spare personnel inefficient focus sundry item list fob base relocation mitigate costs","1"
"light rain afternoon","0"
"1hr 19 05 18 15t remove second additional footings","0"
"no work due cyclon","1"
"verbal taswater today indicating main would made redundant 27 9 18 could removed subject asbestos ohs requirements fulfilled","0"
"latent condition exposed reinforcement cables bridge girders retained patches epoxy","0"
"water main strike block 9 excavating asphalt","0"
"operational","0"
"long term traffic management installed friday priority illawarra road section allow safe access gravel deliveries commence","0"
"weekly site management team meeting","0"
"distributed internal meeting minutes","0"
"planned use stump grinder however could damage services","0"
"package rain event started 25 september 2018 afternoon","0"
"38t vec volvo dry hire feed piles","0"
"07 formatting","0"
"kmr started work borehole 19 approximately 930am finished 230 pm","0"
"gravel stockpile hardstand installed dam site","0"
"first aid kits restocked date contents","0"
"welds deemed approved casting panels","0"
"2nd july 3mm rain works delayed due rain","1"
"umwelt conduct investigations afternoon tomorrow","0"
"arrival 168 cat 140h grader","0"
"wind almost limit panel install","1"
"morning prestart gd reiterated importance sites procedure ground personnel approach plant","0"
"no work mist","1"
"high winds today delayed s4 panel erection s2 piling operations","1"
"team morale compliance cmp good well done","0"
"subgrade replacement abutment b s4 trucks expected monday","0"
"forecast rainfall","1"
"need resolve s50 s55 mix designs allow tbeam fabrication stressing commence","0"
"lay yard borrow","0"
"arrival 331 264 hire d8","0"
"spoke tasspan s2 panel production supply agreement","0"
"pkg weather event 25 08 2018 midnight possible delays work related activities package placement foamed bitumen backfill shoulders","1"
"positive news thh sending float crane pick monday","0"
"stood platforms back upright restrained 2500kg strap","0"
"tasnetworks overhead power relocation","0"
"good radio communication lvs mobile plant trucks entering site","0"
"no work due condensation","1"
"traffic tidy group","0"
"crew signing onto electronic swms ipad","0"
"something need pay particular attention maintaining great team culture responsibilities benefit result effort made","0"
"x 2440 long nom 1500x1200 internal box crowns verified stockpile","0"
"excellent see piles safely unloaded site ending stockpiling offsite location","0"
"mc00 looking north cut fill fill used south side hill embankment","0"
"important us maintain focus continue progress forward taking adversity stride fortunate working exciting high profile project id sooner working though issues progressing forward driving past watching another company complete works","0"
"leading hand performed first aid care wrapping affected wrist elastic bandage support wrist inhibit flexing","0"
"stop precipitation","1"
"wet ground conditions s5 s6 access road","1"
"newly found blocks continuing along alignment previously not known present deeper level top course wall missing","1"
"345 meeting 17 9 18","0"
"aconex nonconformance design delayed site works commenced","0"
"tree removal hst s5 s6 access road","0"
"tim roden suggested wednesday toolbox personnel names printed prestart no confusion caused handwriting","0"
"setting long term traffic management signage","0"
"need continue pushing design process ensure critical program ifc drawings issued timeframe required","0"
"drilling cut borrow pit","0"
"looks like 375mm steel pipe possibly old hwc asset","0"
"upon removing earth discovered caused base pole rusted rejected 28 05 18 ausgrid reuse","0"
"arc not performing required standard root cause plans improve supply not clearly communicated vsjv","0"
"tasrail meeting held escalated outcomes owen board","0"
"306 333 35t kobelco arrived onsite","0"
"crowns owned 2440 long","0"
"gas pipe found","1"
"s5 s6 access road construction","0"
"excavating w 180 2x unknown vc pipes risers struck","1"
"monsoon","1"
"ongoing site establishment environmental protection works","0"
"s6 subgrade replacement","0"
"fob1 containers position connected power furnished","0"
"18 drumderg provide bin truck dispose tanks pipes","0"
"commenced piling abutment b s4","0"
"strong winds across site","1"
"s03 ready piling morning zc managing","0"
"safety design meeting facilitated ross mannering new site office","0"
"delay rainshower","1"
"4 spear points conected","0"
"sighted sediment pomona road works improvement","0"
"no work downpour","1"
"wet","0"
"variable message boards operational advising motorists work zone monitor adherence tmp","0"
"south darby st","0"
"no work monsoon","1"
"source 2nd drop deck trailer improve stability","0"
"came across blockage approx","0"
"tmp implementation clear easy understand signs clean bright","0"
"440pm repair completed valves reopen allowing return water affected businesses","0"
"geotech mc00 cut","0"
"1158am aggie truck sent site","0"
"s5 s6 commence fob2 establishment","0"
"einoder fence variation approval","0"
"level disagreements plant survey b��en ongoing issue","0"
"torrential rain morning","1"
"cloudy windy","1"
"270 sediment basin s3","0"
"back fill subgrade s4","0"
"windy","1"
"uncovered w 170 alignment","0"
"no work hail","1"
"site establishment hampered inclement weather","1"
"heritage investigations crown st","1"
"whilst excavating block 9 water main relocation earthen ware pipe encountered","1"
"clean cyclon","1"
"geo tech investigation mc00 mcc0 cuts define location begin blasting","0"
"time lapse security camera poles craned position","0"
"s3 geotec ongoing","0"
"5t spotter 4hrs","0"
"delay condensation","1"
"sign installing crew wearing pipe","0"
"long term traffic management signage continues installed per approved tmp diagram","0"
"water running rock blanket water trapped blanket","0"
"site establishment","0"
"banned restricted items register explained jv employees","0"
"rail line uncovered west previous burwood colliery rail line removing hard surface","1"
"borrow pit access track construction","0"
"no work rainshow","1"
"proof roll conducted today passed","0"
"delay precipitation","1"
"need manage relationship coordination s5 s6 construction tasrail not incur delays","1"
"long term signage southern end project","0"
"cannot locate 10m slot assess end today whether survey set contact service provider","0"
"site setup","0"
"junttan maintenance week 17 10 18 filling underside panel s3","0"
"traffic slowed 40km along illawarra road allow safe access gravel deliveries s5 s6 access road","0"
"road users dont seem obeying 70km h signs along illawarra road","0"
"required investigation confirm whether part current live sewer","1"
"osf2018 rolled attendance take advantage available time","0"
"portaroof install fob1 roof","0"
"refer site daily sign register","0"
"no work sever deluge","1"
"storm","1"
"ofm 0083","0"
"taswater watermain relocation delayed 3 working days tuesday 2 october","1"
"borrow pit blast 3 project blast 6 went well good job involved","0"
"positively pot holed services s5 s6 opposite borehole locations","0"
"ausgrid spare conduits","0"
"sod turning infrastructure minister rockliff","0"
"waiting matt come back intend load monday ship tuesday night deliver wednesday 31st","0"
"southern end mc02 batters not trimed angle specified drawings box preparation not acceptable tmr area paved saturday 26","0"
"delay deluge","1"
"300pm robson performing mechanical excavation works southern side hunter st","0"
"team good week getting site prepared contract works involved looking forward receiving full possession site allowing contract works commence","0"
"unidentified pipe found","1"
"commence drilling cut borrow pit monday 1st october","0"
"subgrade replacement","0"
"toolbox talk conducted safe use operation quad dogs due event another project","0"
"s5 6 access highway","0"
"trench pile slot","0"
"possession site required","0"
"2 conduits would placed top cables reduced cover","0"
"office fit continued next shift camera poles","0"
"decrease weight object prior lifting possible assign suitable tasks workers prevent performing manual tasks beyond physical capabilities","0"
"installation emergency access point residents eservices work crews","0"
"package b rain event started 25 september 2018 late afternoon","0"
"site access roads","0"
"bridge abutment reo cage jig progressing well","0"
"stripped access road illawarra road structures 5 6","0"
"multicombination vehicle semi sidetipper triple combination driven subcontractor ip 2 hauling material red dust resources ostwald bros finished unloading material package b2 returning quarry another load","0"
"small excavator","0"
"team went back work 0201am following suggestion lightning passed windy","1"
"ofm 0083","0"
"commenced piling activities s4","0"
"generat requir provid backup power rundl busi hunter st low voltag ausgrid reloc work relat sc12631 project","0"
"borrow pit haul road","0"
"wet weather continuing","1"
"stay safe watch mates","0"
"inexperienced operator","0"
"unidentified cable found block 6 near newcommen st intersection encased pavement appears comms cable old parking meters need confirmed asset owners monday 15jan18","1"
"incident not witnessed however seeing wide load another location evident escort accompanying wide load not sufficient manage particular wide load narrowed site","0"
"345 meeting 18 9 18","0"
"requires attention","0"
"subgrade replacement locations due ground water","0"
"requirement identified critical control observation","0"
"168 dayworks pitt sherry","0"
"allowed works continue within westbound lane block 04","0"
"augering holes camera poles","0"
"stripping borrow pit top soil gorse dump access road photo attached","0"
"workshop access road","0"
"intersection shallow steel pipe within yellow sleave found","1"
"nice sunny day","0"
"need sure joint leaking","0"
"occasions similar loads escort vehicles would stop oncoming traffic prior entering narrowed road reserve","0"
"delivery first two loads piles s4 structure","0"
"s01 panel crew canceled lifts today due high winds","1"
"no work rainstorm","1"
"spoke vec trial panel load test","0"
"stripping borrow pit stockpiling","0"
"construction haul road mcj0 alignment","0"
"21452300 lightning 01300230 tba forecast lightning hail","0"
"emergency called","1"
"gerard tome developed easy use convenient concept lead stands across rough ground","0"
"sign post deliveries transport not sent site delaying implementation long term traffic management sign posts disappointing result","1"
"ensure project site clean tidy secure heading weekend","0"
"ndd taking place ausgrid joints southern side hunter st","0"
"rock breaking oversized rock mc00 rock cut","0"
"honeysuckle stop robson tracked rubber tyre exc finished product leave syrface damaged rubber hes exposed finish","0"
"ultrasonic testing p421","0"
"306 tim r borrow pit haul road","0"
"306 borrow pit haul road","0"
"service locations done gibson property allowing programming start sewer main relocation","0"
"management team meeting","0"
"drizzle","0"
"works progressing well wind assisted drying ground well starting contract works soon stay positive","0"
"312 365 168 370 access roads s4 s3","0"
"ifc drawings","0"
"showers","0"
"service runs kerb kerb","0"
"vacuum truck jackhammering various excavators due close proximity services tree roots","0"
"341 ken c","0"
"concrete foot encountered","1"
"excavate prep ground panel prop footing","0"
"need gain full possession site asap not incur unnecessary delays construction program","1"
"zane clarke","0"
"cloudy chance rain","0"
"via tech onsite install traffic management illawarra road","0"
"safetyzero harm inspection","0"
"preparation borrow pit drill rigs","0"
"pkg c yesterdays monday 7th rain event caused saturation trial section stabilisation","0"
"piling remains stalled s3 due breakdown however anticipate resumption monday","1"
"345 meeting 27 9 18","0"
"set first mc00 rock cut blast forze","0"
"ex1200 began get built","0"
"s6 northern abutment subgrade prep boxed","0"
"roller noticed missing friday enquiries made potential reason","0"
"office roof office furniture fit stuart sydes start men free","0"
"delineate protected trees jeff ekert ready clearing mc00 cut","0"
"relocated vec panel yard labour site mix designs ifc drawings shop drawings completed","0"
"no work typhoon","1"
"shop work drawings reviewed designer","0"
"unidentified asset located block 3 approx","1"
"team setting long term traffic management signage","0"
"traffic reduced 70km h working hours","0"
"build new access illawarra road","0"
"works progressing well project works continue ramp achieve program objectives please maintain focus compliance site safety environmental procedures","0"
"bollards signage north abutment excavation slip lane","0"
"slushy","1"
"junttan maintenance done morning","0"
"similar cable located scott st","0"
"penetration founding depth 1213m","0"
"silt curtain installed dam occupied duck swan families good example works progressing without negatively impacting local fauna excellent outcome","0"
"brick wall encountered excavating west perkins csr","1"
"slow progress","1"
"sparky site fitting electrical container delivered","0"
"sediment basin s4","0"
"cross sheep wash creek northern end access mcj0 alignment","0"
"excavating new sewer maintenance chamber watt st sandstone blocks uncovered required additional time spent activity","1"
"delivery driver entered site old site access illawarra rd drove exclusion zone without making communication piling crew","0"
"investigation required confirm clash future subsoil","0"
"safety action progress flagging separate plant pedestrian interface","0"
"precast production","0"
"site inspected supervisor duty works site cancelled","1"
"stop downpour","1"
"windy","1"
"illawarra road speed restrictions vsjv proposed dsg leave 70km h eliminate need team members work traffic morning night change signage","0"
"poles showing signage cover regulatory signage","0"
"prior motorist gaining attention project personnel called chinchilla police","0"
"update 9 4 18 additional sandstone blocks uncovered excavation tp trench ch","1"
"delay rainfall","1"
"keep good work stay positive","0"
"workshop access road construction","0"
"plant arriving site not ready work not much delaying progress not good practice begin job gd discuss js","0"
"commenced placement gravel access roads","0"
"hence exclusion zone vehicles plant remained","0"
"20 people conducted onsite training use defibrillators st johns","0"
"heavy night rain flooded s10","1"
"coal tar encounted stripping ac station street robson claiming delay test samples undertaken","1"
"manpower request submitted","0"
"s4 subgrade prep","0"
"works progressing well earthworks team ramping production daily","0"
"new relocated taswater main may potentially issue open drain","1"
"unknown property connection","1"
"swms inductees","0"
"delivery concrete pipes today","0"
"need program critical ifc drawings","1"
"opposite merewether st","0"
"continue geotech drilling s2","0"
"already seen benefits standards weve set suppliers raising bar achieve vsjvs expectations positive encompassing attitude","0"
"however jemena advised works east max employment could proceed","0"
"start water main instalation south tokalon rd west side","0"
"vimbai raise nc subcontractor vimbai negotiate credit hazells material free supply credit 2","0"
"landowner meetings building good relationships","0"
"installed loose rock signs message frames along illawarra road notify road users potential loose stones surface","0"
"positive toolbox meeting ran malcolm","0"
"emergency servic called","1"
"mark beckett","0"
"result tires blown vms rolled onto side","0"
"deemed cables intact conduit protected avoid future damage","0"
"awaiting report pitt sherry foundation treatment mcc0 mc00 around structures","0"
"geo fabric placed w 600 lap","0"
"loading topsoil mc00 rock cut","0"
"spill kit borrow pit","0"
"need sure joint leaking","0"
"trees cut northern footpath east argyle st","0"
"additional traffic management illawarra road tree removal new compound access","0"
"watercart onsite control dust","0"
"timber sleeper found","1"
"early morning rain caused certain works canceled slow progress works include","1"
"clean rain","1"
"hwc hydrant found leaking within footpath wheeler pl","0"
"continuation borrow pit preparation","0"
